company_name,company_number,company_type,incorporation_date,nature_of_business,registered_office_address,_score
CUBE ANALYTICS LTD,16746992,ltd,27-09-2025,"[64991,66120, 66300]",31 Groomsland Drive Billingshurst England RH14 9HB,3.5
WHITEBEAR INVESTMENTS LTD,16748941,ltd,29-09-2025,"[64991, 66300]",71-75 Shelton Street London United Kingdom WC2H 9JQ,3.5
SAMUEL ASSET MANAGEMENT LTD,15182338,ltd,02-10-2023,"[62012, 66300]",Elms Farm Brinsea Bristol England BS49 5JL,3.5
PAYSHOURLY LTD,16641845,ltd,11-08-2025,"[64301, 66300]",85 Great Portland Street London England W1W 7LT,3.5
HARRINGTON COOPER 2025 LTD,16662720,ltd,20-08-2025,"[64304, 66300]",The Royal Exchange London England EC3V 3DG,3.5
MOUNIR CAPITAL LTD,16585991,ltd,16-07-2025,"[66110, 66300]",71-75 Shelton Street London United Kingdom WC2H 9JQ,3.5
MK LEGAL CONSULTANTS LTD,16424586,ltd,01-05-2025,"[66300,69102, 78200]",131 Middleton Boulevard Nottingham England NG8 1FW,3.5
DAVINCIH LIMITED,16860292,ltd,17-11-2025,"[58110,66300, 85520]",170 Porters Avenue Dagenham England RM8 2AE,3.5
PEMBROKE UK INVESTMENT MANAGERS LIMITED,14925984,ltd,09-06-2023,[66300],223-231 Old Marylebone Road London England NW1 5QT,3.5
RONA VICTORIA DIXON-CALLISTE LTD,15220128,ltd,18-10-2023,[66300],32-34 Osier Way Osier Way London England E10 5SB,3.5
CIBUS PSB LIMITED,16373226,ltd,08-04-2025,"[64205, 66300]",4 Sloane Terrace London England SW1X 9DQ,3.5
HARPER LARK LIMITED,13651185,ltd,29-09-2021,[66300],"Eq,  4th Floor Bristol United Kingdom BS1 6AX",3.5
DUDOK GP2 LTD,15319284,ltd,30-11-2023,[66300],Fifth Floor London England W1W 5PF,3.5
ODIN CAPITAL LIMITED,15009039,ltd,18-07-2023,[66300],Office 303 Longcroft House 2 - 8 Victoria Avenue London England EC2M 4NS,3.5
