company_name,company_number,company_type,incorporation_date,nature_of_business,registered_office_address,_score
BROAD STREET ASSET MANAGEMENT LTD,11235406,ltd,05-03-2018,"[64205,64999,66120, 66300]",7/8 Avon Reach Chippenham United Kingdom SN15 1EE,10.0
MILLENNIUM GLOBAL INVESTMENTS LIMITED,02964847,ltd,05-09-1994,[66300],15th Floor 88 Wood Street London England EC2V 7QR,10.0
GREG RICHMOND LIMITED,05386444,ltd,09-03-2005,"[66120, 66300]",23 West Avenue Exeter England EX4 4SD,10.0
LINDSELL TRAIN LIMITED,03941727,ltd,07-03-2000,[66300],66 Buckingham Gate London England SW1E 6AU,10.0
BRICKLANE TECHNOLOGIES LTD,09170265,ltd,11-08-2014,"[62012,66300, 68310]",19-23 Ironmonger Row London England EC1V 3QN,10.0
HOVE CAPITAL MANAGEMENT LTD,03424396,ltd,26-08-1997,[66300],3rd Floor 207 Regent Street London W1B 3HH,10.0
DWS ALTERNATIVES GLOBAL LIMITED,05603289,ltd,26-10-2005,[66300],21 Moorfields London United Kingdom EC2Y 9DB,10.0
SENECA PARTNERS LIMITED,07196273,ltd,19-03-2010,"[64209, 66300]",9 The Parks Newton-Le-Willows England WA12 0JQ,10.0
WMG FUNDS LIMITED,05237578,ltd,21-09-2004,[66300],239-241 Kennington Lane London United Kingdom SE11 5QU,10.0
ARES MANAGEMENT LIMITED,05837428,ltd,05-06-2006,[66300],"C/O Tmf Group,  13th Floor London United Kingdom EC2R 7HJ",10.0
BRICEAMERY CAPITAL LTD,05523093,ltd,29-07-2005,[66300],8 Devonshire Square London England EC2M 4YJ,10.0
381 INVESTMENTS LIMITED,07330809,ltd,30-07-2010,"[66300, 96090]",Suite L3 Chatteris PE16 6TT,10.0
MACQUARIE INFRASTRUCTURE AND REAL ASSETS (EUROPE) LIMITED,03976881,ltd,19-04-2000,[66300],Ropemaker Place London EC2Y 9HD,10.0
COGNIS CAPITAL MANAGEMENT LIMITED,06668733,ltd,08-08-2008,[66300],71-75 Shelton Street London WC2H 9JQ,10.0
DIMENSIONAL FUND ADVISORS LTD.,02569601,ltd,19-12-1990,[66300],20 Triton Street London NW1 3BF,10.0
THE PRIVATE INFRASTRUCTURE DEVELOPMENT GROUP LIMITED,11265124,ltd,20-03-2018,"[64205,66300, 70221]",6 Bevis Marks London England EC3A 7BA,10.0
RWC PARTNERS LIMITED,03517613,ltd,26-02-1998,[66300],Verde 4th Floor London England SW1E 5DH,10.0
DRAGON PARTNERS LIMITED,03388419,ltd,18-06-1997,[66300],49 St James's Street London England SW1A 1AH,10.0
ROYAL LONDON UNIT TRUST MANAGERS LIMITED,02372439,ltd,14-04-1989,[66300],80 Fenchurch Street London United Kingdom EC3M 4BY,10.0
CULROSS GLOBAL MANAGEMENT LIMITED,02736036,ltd,30-07-1992,[66300],8-10 Hill Street London England W1J 5NG,10.0
GAM INTERNATIONAL MANAGEMENT LIMITED,01802911,ltd,26-03-1984,[66300],8 Finsbury Circus London England EC2M 7GB,10.0
RAEF CAPITAL LTD.,10246180,ltd,22-06-2016,"[66300, 70229]",438 Streatham High Road London England SW16 3PX,10.0
SUMITOMO MITSUI DS ASSET MANAGEMENT (UK) LIMITED,01660184,ltd,25-08-1982,[66300],100 Liverpool Street London United Kingdom EC2M 2AT,10.0
COLLEGIATE HOUSE LIMITED,02727604,ltd,01-07-1992,[66300],143-149 Fenchurch Street London England EC3M 6BN,10.0
GUINNESS CAPITAL MANAGEMENT LIMITED,07084333,ltd,23-11-2009,[66300],18 Smith Square London England SW1P 3HZ,10.0
MACANIE INVESTMENTS LIMITED,00595844,ltd,20-12-1957,[66300],Cohen Arnold New Burlington House 1075 London England NW11 0PU,10.0
ARGENT FUND MANAGEMENT LIMITED,03187591,ltd,18-04-1996,[66300],5 Market Yard Mews London United Kingdom SE1 3TQ,10.0
MBM CAPITAL INVESTMENTS LIMITED,07376667,ltd,15-09-2010,[66300],3 Hill Street London W1J 5LB,10.0
ASHTENNE INDUSTRIAL (GENERAL PARTNER) LIMITED,04222557,ltd,23-05-2001,[66300],3 Copthall Avenue London England EC2R 7BH,10.0
ALAN PARKER ESTATES LTD,11495548,ltd,01-08-2018,"[64999,66300,68100, 68209]",59 59 Kenton Road Harrow England HA3 0AP,10.0
MOORGATE INVESTMENT MANAGEMENT LIMITED,02405166,ltd,17-07-1989,[66300],Cannon Place London England EC4N 6HL,10.0
K2 INVESTMENT MANAGEMENT LIMITED,06757026,ltd,24-11-2008,[66300],Pyramid House London England N12 9RT,10.0
HENDERSON ROWE LIMITED,04379340,ltd,22-02-2002,[66300],1 London Street Reading RG1 4PN,10.0
INVESCO UK LIMITED,03004959,ltd,19-12-1994,"[64205, 66300]",Perpetual Park Henley-On-Thames RG9 1HH,10.0
FINDLAY PARK INVESTMENT MANAGEMENT LIMITED,03386539,ltd,13-06-1997,[66300],2nd Floor 16 New Burlington Place London England W1S 2HX,10.0
ARTEMIS FUND MANAGERS LIMITED,01988106,ltd,11-02-1986,[66300],Cassini House London SW1A 1LD,10.0
SEILERN INVESTMENT MANAGEMENT LTD.,02962937,ltd,26-08-1994,[66300],"3rd Floor,  Burdett House London England WC2N 6DU",10.0
THELEME SERVICES LIMITED,06978736,ltd,03-08-2009,[66300],65 Curzon Street London England W1J 8PE,10.0
AFKAR PLUS LTD,12996379,ltd,04-11-2020,"[62020,66300,70229, 85600]",128 City Road London United Kingdom EC1V 2NX,10.0
CONSULTA LIMITED,02203991,ltd,09-12-1987,[66300],19-21 Old Bond Street London England W1S 4PX,10.0
FIELDINGS INVESTMENT MANAGEMENT LIMITED,02958085,ltd,12-08-1994,[66300],100 Wood Street London England EC2V 7AN,10.0
CG ASSET MANAGEMENT LIMITED,04056163,ltd,21-08-2000,[66300],20 King Street London England EC2V 8EG,10.0
DIAMOND CAPITAL HOLDINGS LTD,10357887,ltd,02-09-2016,"[41201,55201,66300, 68100]",1 Berkeley Street London United Kingdom W1J 8DJ,10.0
FMR INVESTMENT MANAGEMENT (UK) LIMITED,05942395,ltd,21-09-2006,[66300],25 Cannon Street London England EC4M 5SB,10.0
TOKIO MARINE ASSET MANAGEMENT (LONDON) LIMITED,02534139,ltd,24-08-1990,[66300],20 Fenchurch Street London EC3M 3BY,10.0
MERSEYLINK (ISSUER) PLC,08896313,plc,14-02-2014,"[64203, 66300]",9 Howard Court Runcorn England WA7 1SJ,10.0
WM CAPITAL MANAGEMENT LIMITED,07042526,ltd,14-10-2009,[66300],80 Coleman Street London England EC2R 5BJ,10.0
BLUEBAY ASSET MANAGEMENT (SERVICES) LTD,03262598,ltd,11-10-1996,[66300],100 Bishopsgate London England EC2N 4AA,10.0
MORANT WRIGHT MANAGEMENT LIMITED,03692692,ltd,07-01-1999,[66300],43 St. James's Place London SW1A 1NS,10.0
HARBERT EUROPEAN FUND ADVISORS LIMITED,05384713,ltd,08-03-2005,[66300],45 Old Bond Street London England W1S 4QT,10.0
THOMAS MILLER INVESTMENT LTD.,02187502,ltd,03-11-1987,[66300],90 Fenchurch Street London EC3M 4ST,10.0
PATHWAY CAPITAL MANAGEMENT (UK) LIMITED,05531075,ltd,08-08-2005,[66300],14 Upper St. Martin's Lane London England WC2H 9FB,10.0
KEYHAVEN CAPITAL PARTNERS LIMITED,04562641,ltd,15-10-2002,[66300],45 Whitfield Street London England W1T 4HD,10.0
ZOUK VENTURES LIMITED,03754987,ltd,20-04-1999,[66300],26 Ives Street London United Kingdom SW3 2ND,10.0
NURTRIO LIMITED,06204479,private-limited-guarant-nsc,05-04-2007,"[66300,87200,88100, 88990]","Unit 5,  Acorn Business Park Grimsby England DN32 0LT",10.0
AVIVA INVESTORS GLOBAL SERVICES LIMITED,01151805,ltd,17-12-1973,[66300],80 Fenchurch Street London United Kingdom EC3M 4AE,10.0
NATIXIS INVESTMENT MANAGERS UK LIMITED,03680538,ltd,08-12-1998,[66300],Level 4 Cannon Bridge House London United Kingdom EC4R 2YA,10.0
ASHIK SHAH & CO LIMITED,04551353,ltd,02-10-2002,[66300],33 Foley Street London England W1W 7TL,10.0
FCA FINANCE CONSULTING AKTIENGESELLSCHAFT LTD,05509943,ltd,15-07-2005,[66300],"Unit 3,  Office A,  1st Floor London England EC3R 8EE",10.0
IRONSIDE GENERAL PARTNER LIMITED,07462016,ltd,07-12-2010,[66300],6th Floor Kings House London England SW1Y 4BP,10.0
HERMITAGE CAPITAL MANAGEMENT (UK) LIMITED,05775751,ltd,10-04-2006,[66300],The Aspect London England EC2A 1AS,10.0
MATTHEW TURNBULL LIMITED,00408446,ltd,15-04-1946,"[66300, 68209]",23 Chandos Road Buckingham England MK18 1AL,10.0
CITY OF LONDON INVESTMENT MANAGEMENT COMPANY LIMITED,02851236,ltd,07-09-1993,[66300],77 Gracechurch Street London EC3V 0AS,10.0
VALERIDGE INVESTMENTS LIMITED,03939768,ltd,03-03-2000,"[66300, 68209]",C/O M C Patel & Co Hillingdon Harrow HA3 9DP,10.0
VITRUVIAN PARTNERS LIMITED,05946871,ltd,26-09-2006,[66300],105 Wigmore Street London W1U 1QY,10.0
PUNTER SOUTHALL WEALTH LIMITED,05374633,ltd,24-02-2005,[66300],88 Wood Street London England EC2V 7QR,10.0
BROMPTON REAL ESTATE INVESTMENT MANAGEMENT LIMITED,06891842,ltd,29-04-2009,[66300],1 Knightsbridge Green London SW1X 7QA,10.0
FANGLAA UK TRADING LTD,13072169,ltd,09-12-2020,"[64303,64305,66300, 70221]",20-22 Wenlock Road London England N1 7GU,10.0
WEST COMMON INVESTMENTS LIMITED,00795163,ltd,09-03-1964,[66300],6th Floor 9 Appold Street London United Kingdom EC2A 2AP,10.0
BROMPTON ASSET MANAGEMENT LIMITED,06866020,ltd,01-04-2009,[66300],1 Knightsbridge Green London SW1X 7QA,10.0
TROY ASSET MANAGEMENT LIMITED,03930846,ltd,22-02-2000,[66300],33 Davies Street London United Kingdom W1K 4BP,10.0
INNISFREE IMPPP SLP LIMITED,04363921,ltd,30-01-2002,[66300],"1st Floor,  Boundary House London United Kingdom EC1M 6HR",10.0
INNISFREE EXGP CONTINUATION LIMITED,05651389,ltd,12-12-2005,[66300],"1st Floor,  Boundary House London United Kingdom EC1M 6HR",10.0
